Airport code,,District,Country
0A7,Hendersonville Airport,North Carolina,United States
AAA,Anaa,French Polynesia,Not found
AAB,Arrabury,Queensland,Australia
AAC,Al Arish,North Sinai Governorate,Egypt
AAD,Ad-Dabbah,Not found,Not found
AAE,Les Salines,El Tarf Province,Algeria
AAF,Municipal,Florida,United States
AAG,Arapoti,ParanÃ¡,Brazil
AAH,Aachen/Merzbruck,North Rhine-Westphalia,Germany
AAI,Arraias,Tocatins,Brazil
AAJ,Cayana Airstrip,Sipaliwini,Suriname
AAK,Aranuka,Gilbert Islands,Kiribati
AAL,Aalborg,North Jutland,Denmark
AAM,Mala Mala,Limpopo,South Africa
AAN,Al Ain,Abu Dhabi Emirate,United Arab Emirates
AAO,Anaco,Anzoategui,Venezuela
AAP,Andrau Airpark,Texas,United States
AAQ,Anapa,Krasnodar Krai,Russia
AAR,Tirstrup,Central Jutland,Denmark
AAS,Apalapsili,Kentucky,United States
AAT,Altay,California,United States
AAU,Asau,Vaisigano District,Samoa
AAV,Alah,South Cotabato Province,Philippines
AAW,Mumbai,North-West Frontier,Pakistan
AAX,Araxa,Minas Gerais,Brazil
AAY,Al Ghaydah,Al Mahrah Governorate,Yemen
AAZ,Quetzaltenango Airport,Quetzaltenango,Guatemala
ABA,Abakan,Republic of Khakassia,Russia
ABB,RAF Station,Delta,Nigeria
ABC,Los Llanos,Castilla-La Mancha,Spain
ABD,Abadan,Khuzestan Province,Iran
ABE,Lehigh Valley International,Pennsylvania,United States
ABF,Abaiang,Gilbert Islands,Kiribati
ABG,Abingdon,Queensland,Australia
ABH,Alpha,Queensland,Australia
ABI,Municipal,Texas,United States
ABJ,Felix Houphouet Boigny,Lagunes,CÃ´te d'Ivoire
ABK,Kabri Dar,Somali,Ethiopia
ABL,Ambler,Alaska,United States
ABM,Bamaga,Queensland,Australia
ABN,Albina,Marowijne,Suriname
ABO,Aboisso,Puerto Rico,Not found
ABP,Atkamba,Western (Fly River),Papua New Guinea
ABQ,Albuquerque International,New Mexico,United States
ABR,Municipal,South Dakota,United States
ABS,Abu Simbel,Aswan Governorate,Egypt
ABT,Al-Aqiq,Al Batah Region,Saudi Arabia
ABU,Atambua,Nusa Tenggara Timur,Indonesia
ABV,International,Abuja Capital Territory,Nigeria
ABW,Abau,Not found,Not found
ABX,Albury,New South Wales,Australia
ABY,Dougherty County,Georgia,United States
ABZ,Dyce,Scotland,United Kingdom
ACA,General Juan N. Alvarez International,Guerrero,Mexico
ACB,Antrim County,Michigan,United States
ACC,Kotoka,Greater Accra Region,Ghana
ACD,Acandi,ChocÃ_ Department,Colombia
ACE,Lanzarote,Canary Islands,Spain
ACH,Altenrhein,Canton of St. Gallen,Switzerland
ACI,The Blaye,Guernsey,Not found
ACJ,Anuradhapura,Georgia,United States
ACK,Nantucket Memorial,Massachusetts,United States
ACL,Aguaclara,Casanare Department,Colombia
ACM,Arica,Amazonas Department,Colombia
ACN,International,Coahuila,Mexico
ACO,Ascona,Canton of Ticino,Switzerland
ACP,Sahand,East Azarbaijan Province,Iran
ACR,Araracuara,CaquetÃ¡ Department,Colombia
ACS,Achinsk,Krasnoyarsk Krai,Russia
ACT,Municipal,Texas,United States
ACU,Achutupo,DariÃ©n Province,Panama
ACV,Arcata,California,United States
ACX,Xingyi,Guizhou Province,China
ACY,Atlantic City Intl,New Jersey,United States
ACZ,Zabol A/P,Sistan and Baluchestan Province,Iran
ADA,Adana,Adana Province,Turkey
ADB,Adnan Menderes Arpt,Ä°zmir Province,Turkey
ADC,Andakombe,Minnesota,United States
ADD,Bole,Addis Ababa,Ethiopia
ADE,International,Adan Governorate,Yemen
ADF,Adiyaman,AdÄ±yaman Province,Turkey
ADG,Lenawee County,Michigan,United States
ADH,Aldan,Oklahoma,United States
ADI,Arandis,Erongo Region,Namibia
ADJ,Civil - Marka Airport,Amman Governorate,Jordan
ADK,Adak Island NS,Alaska,United States
ADL,Adelaide,South Australia,Australia
ADM,Ardmore Municipal Arpt,Oklahoma,United States
ADN,Andes,AntioquÃ_a Department,Colombia
ADO,Andamooka,Santa Cruz Province,Argentina
ADP,Ampara,Eastern Province,Sri Lanka
ADQ,Kodiak Airport,Alaska,United States
ADR,Andrews,South Carolina,United States
ADS,Addison Airport,Texas,United States
ADT,Ada,Oklahoma,United States
ADU,Ardabil,Ardabil Province,Iran
ADV,Andover,East Darfur State,Sudan
ADW,Andrews AFB,Maryland,United States
ADX,Leuchars,Scotland,United Kingdom
ADY,Alldays,Limpopo,South Africa
ADZ,San Andres Island,"San AndrÃ©s, Providencia y Santa Catalina Department",Colombia
AEA,Abemama Atoll,Gilbert Islands,Kiribati
AED,Aleneva,Nuevo Leon,Mexico
AEG,Aek Godang,New Mexico,United States
AEH,Abecher,Ouaddai,Chad
AEI,Algeciras,CÃ¡diz,Spain
AEK,Aseki,Morobe,Papua New Guinea
AEL,Albert Lea,Minnesota,United States
AEO,Aioun El Atrouss,Hodh el Charbi Region,Mauritania
AEP,Arpt. Jorge Newbery,Capital federal,Argentina
AER,Adler/Sochi,Capital federal,Argentina
AES,Vigra,MÃ¸re og Romsdal,Norway
AET,Allakaket,Alaska,United States
AEU,Abu Musa,Hormozgan Province,Iran
AEX,Alexandria Internation,Louisiana,United States
AEY,Akureyri,Northeastern Region,Iceland
AFA,San Rafael,Mendoza Province,Argentina
AFD,Port Alfred,Eastern Cape,South Africa
AFF,USAF Academy,Colorado,United States
AFI,Amalfi,AntioquÃ_a Department,Colombia
AFK,Kondavattavan Tank,Nebraska,United States
AFL,Alta Floresta,Mato Grosso,Brazil
AFN,Municipal,New Hampshire,United States
AFO,Municipal,Wyoming,United States
AFR,Afore,Northern (Oro),Papua New Guinea
AFS,Zarafshan,Navoiy,Uzbekistan
AFT,Afutara Aerodrome,Malaita,Solomon Islands
AFW,Fort Worth Alliance,Texas,United States
AFY,Afyon,Afyonkarahisar Province,Turkey
AFZ,Sabzevar,Razavi Khorasan Province,Iran
AGA,Agadir Almassira,Agadir Province,Morocco
AGB,Augsburg - Muehlhausen,Bavaria,Germany
AGC,Allegheny County,Pennsylvania,United States
AGD,Anggi,West Papua,Indonesia
AGE,Flugplatz,Lower Saxony,Germany
AGF,La Garenne,Aquitaine,France
AGG,Angoram,East Sepik,Papua New Guinea
AGH,Angelholm,SkÃ¥ne lÃ_n,Sweden
AGI,Wageningen,NeuquÃ©n Province,Argentina
AGJ,Aguni,Okinawa Prefecture,Japan
AGK,Kagua,Sandaun (West Sepik),Papua New Guinea
AGL,Wanigela,Northern (Oro),Papua New Guinea
AGM,Tasiilaq,Casanare Department,Colombia
AGN,Angoon,Alaska,United States
AGO,Municipal,Arkansas,United States
AGP,Malaga,AndalucÃ_a,Spain
AGQ,Agrinion,Aetolia-Acarnania,Greece
AGR,Kheria,Florida,United States
AGS,Bush Field,Georgia,United States
AGT,Alejo Garcia,Alto ParanÃ¡ Department,Paraguay
AGU,Aguascalients,Aguascalientes,Mexico
AGV,Acarigua,Portuguesa,Venezuela
AGW,Agnew,Queensland,Australia
AGX,Agatti Island,Lakshadweep,India
AGY,Argyle Downs,CÃ©sar Department,Colombia
AGZ,Aggeneys,Northern Cape,South Africa
AHA,Naha AFB,Not found,Not found
AHB,Abha,Asir Region,Saudi Arabia
AHC,Amedee AAF,California,United States
AHD,Downtown,Oklahoma,United States
AHE,Ahe Airport,French Polynesia,Not found
AHF,Municipal,Nebraska,United States
AHH,Municipal,Wisconsin,United States
AHI,Amahai,Maluku,Indonesia
AHL,Aishalton,Upper Takutu-Upper Essequibo,Guyana
AHN,Athens,Georgia,United States
AHO,Fertilia,Sardinia,Italy
AHS,Ahuas,Gracias a Dios,Honduras
AHT,Amchitka,Alaska,United States
AHU,Charif Al Idrissi,Al HoceÃ¯ma Province,Morocco
AHY,Ambatolahy,Toliara,Madagascar
AHZ,Alpe D Huez,RhÃ´ne Alpes,France
AIA,Alliance,Nebraska,United States
AIB,Anita Bay,Colorado,United States
AIC,Airok,Ailinglapalap,Marshall Islands
AID,Municipal,Indiana,United States
AIE,Aiome,Madang,Papua New Guinea
AIF,Assis,SÃ£o Paulo,Brazil
AIG,Yalinga,Wisconsin,United States
AIH,Aiambak,Huila Department,Colombia
AII,Alisabieh,Ali Sabiah,Djibouti
AIK,Municipal,South Carolina,United States
AIL,Ailigandi,Kuna Yala Indigenous Region,Panama
AIM,Ailuk Island,Ailuk,Marshall Islands
AIN,Wainwright,Alaska,United States
AIO,Municipal,Iowa,United States
AIP,Ailinglapalap Island,Ailinglapalap,Marshall Islands
AIR,Aripuana,Mato Grosso,Brazil
AIS,Arorae Island,Gilbert Islands,Kiribati
AIT,Aitutaki,Cook Islands,Not found
AIU,Atiu Island,Cook Islands,Not found
AIV,George Downer,Alabama,United States
AIW,Ai-Ais,Kunene Region,Namibia
AIY,Bader Field,New Jersey,United States
AIZ,Lee C Fine Memorial,Missouri,United States
AJA,Campo Dell Oro,Corsica,France
AJF,Jouf,Al Jawf Region,Saudi Arabia
AJI,A_ri,AÄŸrÄ± Province,Turkey
AJJ,Akjoujt,Inchiri Region,Mauritania
AJK,Araak,Markazi Province,Iran
AJL,Aizawl,Mizoram,India
AJN,Ouani,Anjouan Ndzouani,Comoros
AJO,Aljouf,California,United States
AJR,Arvidsjaur,Norrbottena lÃ_n,Sweden
AJS,Abreojos,Baja California Sur,Mexico
AJU,Aracaju,Sergipe,Brazil
AJY,Agades,Agadez Region,Niger
AKA,Ankang,Alaska,United States
AKB,Atka,Alaska,United States
AKC,Fulton International,Ohio,United States
AKD,Akola,Maharashtra,India
AKE,Akieni,Haut-OgoouÃ© Province,Gabon
AKF,Kufrah,Al Kufrah District,Libya
AKG,Anguganak,Sandaun (West Sepik),Papua New Guinea
AKH,Prince Sultan Air Base,Riyadh Region,Saudi Arabia
AKI,Akiak,Alaska,United States
AKJ,Asahikawa,HokkaidÅç Prefecture,Japan
AKK,Akhiok SPB,Alaska,United States
AKL,Auckland International,Auckland Region,New Zealand
AKM,Zakouma,Salamat,Chad
AKN,King Salmon,Alaska,United States
AKO,Washington Co,Colorado,United States
AKP,Anaktuvuk,Alaska,United States
AKQ,Gunung Batin,Virginia,United States
AKR,Akure,Ondo,Nigeria
AKT,Akrotiri RAF,United Kingdom,Not found
AKU,Aksu,Xinjiang Autonomous Region,China
AKV,Akulivik,Quebec,Canada
AKW,Aghajari,Khuzestan Province,Iran
AKX,Aktyubinsk,Aktobe Region,Kazakhstan
AKY,Civil,Rakhine State,Burma
ALA,Almaty,Almaty Region,Kazakhstan
ALB,Albany International,New York,United States
ALC,Alicante,Valencia,Spain
ALD,Alerta,Madre de Dios Region,PerÃº
ALE,Alpine,Texas,United States
ALF,Alta,Finnmark,Norway
ALG,Houari Boumediene,BoumerdÃ¨s Province,Algeria
ALH,Albany,Western Australia,Australia
ALI,International,Texas,United States
ALJ,Kortdoorn,Northern Cape,South Africa
ALK,Asela,Not found,Not found
ALL,Albenga,Liguria,Italy
ALM,Municipal,New Mexico,United States
ALN,Alton,Illinois,United States
ALO,Waterloo,Iowa,United States
ALP,Nejrab,Aleppo Governorate,Syria
ALQ,Federal,Rio Grande do Sul,Brazil
ALR,Alexandra,Otago Region,New Zealand
ALS,Municipal,Colorado,United States
ALT,Alenquer,ParÃ¡,Brazil
ALU,Alula,Bari,Somalia
ALV,Andorra La Vella H/P,Tolima Department,Colombia
ALW,Walla Walla,Washington,United States
ALX,Thomas C Russell Fld,Alabama,United States
ALY,El Nohza,Alexandria Governorate,Egypt
ALZ,Alitak SPB,Alaska,United States
AMA,International,Texas,United States
AMB,Ambilobe,Antsiranana,Madagascar
AMC,Am Timan,Salamat,Chad
AMD,Ahmedabad,Gujarat,India
AME,Alto Molocue,Buenos Aires Province,Argentina
AMF,Ama,East Sepik,Papua New Guinea
AMG,Amboin,Georgia,United States
AMH,Arba Mintch,"Southern Nations, Nationalities and Peoples",Ethiopia
AMI,Selaparang,Nusa Tenggara Barat,Indonesia
AMJ,Almenara,Minas Gerais,Brazil
AMK,Animas Airpark,Colorado,United States
AML,Puerto Armuellas,ChiriquÃ_ Province,Panama
AMM,Queen Alia Intl,Amman Governorate,Jordan
AMN,Gratiot Community,Michigan,United States
AMO,Mao,Kanem,Chad
AMP,Ampanihy,Toliara,Madagascar
AMQ,Pattimura,Maluku,Indonesia
AMR,Arno,Not found,Not found
AMS,Amsterdam-Schiphol,Noord-Holland,Netherlands
AMT,Amata,Ohio,United States
AMU,Amanab,Sandaun (West Sepik),Papua New Guinea
AMV,Amderma,Nenets Autonomous Okrug,Russia
AMW,Ames,Iowa,United States
AMX,Ammaroo,Northern Territory,Australia
AMY,Ambatomainty,Mahajanga,Madagascar
AMZ,Ardmore,Auckland Region,New Zealand
ANA,Anaheim,Entre RÃ_os Province,Argentina
ANB,County Arpt,Alabama,United States
ANC,Ted Stevens Anchorage Int'l,Alaska,United States
AND,Anderson,Catamarca Province,Argentina
ANE,Marce,Pays-de-la-Loire,France
ANF,Cerro Moreno,Antofagasta Region,Chile
ANG,Brie-Champniers,Poitou-Charentes,France
ANH,Anuha Island Resort,Central,Solomon Islands
ANI,Aniak,Alaska,United States
ANJ,Zanaga,Michigan,United States
ANK,Etimesgut,Ankara Province,Turkey
ANL,Andulo,BiÃ© Province,Angola
ANM,Antsirabato,Antsiranana,Madagascar
ANN,Annette Island,Alaska,United States
ANO,Angoche,Nampula Province,Mozambique
ANP,Lee,Maryland,United States
ANQ,Tri-State Steuben Cty,Indiana,United States
ANR,Deurne,Antwerp,Belgium
ANS,Andahuaylas,ApurÃ_mac Region,PerÃº
ANT,St Anton,Not found,Not found
ANU,V.C. Bird Intl,Saint George,Antigua and Barbuda
ANV,Anvik,Alaska,United States
ANW,Ainsworth,Nebraska,United States
ANX,Andenes,Nordland,Norway
ANY,Anthony,Kansas,United States
ANZ,Angus Downs,Northern Territory,Australia
AOA,Aroa,Central,Papua New Guinea
AOB,Annanberg,Madang,Papua New Guinea
AOC,Altenburg Nobitz,Thuringia,Germany
AOD,Abou Deia,Salamat,Chad
AOE,Anadolu University,EskiÅŸehir Province,Turkey
AOG,Anshan,Liaoning Province,China
AOH,Allen County,Ohio,United States
AOI,Falconara,Marche,Italy
AOJ,Aomori,Aomori Prefecture,Japan
AOK,Karpathos,Dodecanese,Greece
AOL,Paso De Los Libres,Corrientes Province,Argentina
AON,Arona,Not found,Not found
AOO,Martinsburg,Pennsylvania,United States
AOR,Alor Setar,Kedah,Malaysia
AOS,Amook,Alaska,United States
AOT,Corrado Gex,Valle d'Aosta,Italy
AOU,Attopeu,Attapu Province,Laos
APA,Arapahoe Co,Colorado,United States
APB,Apolo,La Paz Department,Bolivia
APC,Napa County,California,United States
APE,San Juan Aposento,Ica Region,PerÃº
APF,Naples,Florida,United States
APG,Phillips AAF,Maryland,United States
APH,Camp A P Hill,Virginia,United States
API,Apiay,Meta Department,Colombia
APK,Apataki,French Polynesia,Not found
APL,Nampula,Nampula Province,Mozambique
APN,Alpena County Regional,Michigan,United States
APO,Apartado,Misiones Province,Argentina
APP,Asapa,Northern (Oro),Papua New Guinea
APQ,Arapiraca,Alagoas,Brazil
APR,April River,East Sepik,Papua New Guinea
APS,Anapolis,GoiÃ¡s,Brazil
APT,Marion County,Tennessee,United States
APU,Apucarana,ParanÃ¡,Brazil
APV,Apple Valley,California,United States
APW,Faleolo,A'ana District,Samoa
APX,Arapongas,ParanÃ¡,Brazil
APY,Alto Parnaiba,Meta Department,Colombia
APZ,Zapala,NeuquÃ©n Province,Argentina
AQA,Manaus,SÃ£o Paulo,Brazil
AQB,Quiche Airport,Quiche,Guatemala
AQG,Anqing,Anhui Province,China
AQI,Qaisumah,Ash Sharqiyah Region,Saudi Arabia
AQJ,King Hussein Intl,Al 'Aqaba Governorate,Jordan
AQM,Ariquemes,RondÃ´nia,Brazil
AQP,Rodriguez Ballon,Arequipa Region,PerÃº
AQS,Saqani,Northern,Fiji
AQY,Alyeska,Alaska,United States
ARA,Acadiana Regional,Louisiana,United States
ARB,Municipal,Michigan,United States
ARC,Arctic Village,Alaska,United States
ARD,Alor Island,Nusa Tenggara Timur,Indonesia
ARE,Arecibo,Puerto Rico,Not found
ARF,Acaricuara,VaupÃ©s Department,Colombia
ARG,Walnut Ridge,Arkansas,United States
ARH,Arkhangelsk,Arkhangelsk Oblast,Russia
ARI,Chacalluta,Arica and Parinacota Region,Chile
ARJ,Arso,Papua,Indonesia
ARK,Arusha,Arusha Region,Tanzania
ARL,Arly,Tapoa,Burkina Faso
ARM,Armidale,Texas,United States
ARN,Arlanda,Stockholms lÃ_n,Sweden
ARO,Arboletas,AntioquÃ_a Department,Colombia
ARP,Aragip,Milne Bay,Papua New Guinea
ARQ,Arauquita,Arauca Department,Colombia
ARR,Alto Rio Senguerr,Illinois,United States
ARS,Aragarcas,Chubut Province,Argentina
ART,Watertown,New York,United States
ARU,Aracatuba,SÃ£o Paulo,Brazil
ARV,Noble F. Lee,Wisconsin,United States
ARW,Arad,Arad,Romania
ARX,Asbury Park,New Jersey,United States
ARY,Ararat,Victoria,Australia
ASA,Assab,Debubawi Keyih Bahri,Eritrea
ASB,Ashgabat,Ahal,Turkmenistan
ASC,Ascension,Santa Cruz Department,Bolivia
ASD,Andros Town,Nicholls Town and Berry Islands,Bahamas
ASE,Aspen,Colorado,United States
ASF,Astrakhan,Astrakhan Oblast,Russia
ASG,Ashburton,Arkansas,United States
ASH,Boire Field,New Hampshire,United States
ASI,Wideawake Fld,Ascension,Saint Helena
ASJ,Amami O Shima,Kagoshima Prefecture,Japan
ASK,Yamoussoukro,Lacs,CÃ´te d'Ivoire
ASL,Harrison County,Texas,United States
ASM,Asmara International,Semenawi Keyih Bahri,Eritrea
ASN,Talladega,Alabama,United States
ASO,Asosa,Benshangul-Gumaz,Ethiopia
ASP,Alice Springs,Northern Territory,Australia
ASQ,Austin,Nevada,United States
ASR,Erkilet International Airport,Kayseri Province,Turkey
AST,Astoria,Oregon,United States
ASU,Silvio Pettirossi,Central Department,Paraguay
ASV,Amboseli,Rift Valley Province,Kenya
ASW,Aswan,Aswan Governorate,Egypt
ASX,Ashland,Wisconsin,United States
ASY,Ashley,North Dakota,United States
ASZ,Asirim,West New Britain,Papua New Guinea
ATA,Anta,Ancash Region,PerÃº
ATB,Atbara,River Nile State,Sudan
ATD,Atoifi,Malaita,Solomon Islands
ATE,Antlers,Oklahoma,United States
ATF,Chachoan,Tungurahua Province,Ecuador
ATG,Attock,Punjab,Pakistan
ATH,Eleftherios Venizelos,Attica,Greece
ATI,Artigas,Artigas Department,Uruguay
ATJ,Antsirabe,Antananarivo,Madagascar
ATK,Atqasuk,Alaska,United States
ATL,Hartsfield-Jackson Atlanta Int,Georgia,United States
ATM,Altamira,ParÃ¡,Brazil
ATN,Namatanai,Buenos Aires Province,Argentina
ATO,Ohio University,Ohio,United States
ATP,Airstrip,Sandaun (West Sepik),Papua New Guinea
ATQ,Raja Sansi,Punjab,India
ATR,Mouakchott,Adrar Region,Mauritania
ATS,Artesia,New Mexico,United States
ATT,Atmautluak,Alaska,United States
ATU,Casco Cove,Alaska,United States
ATV,Ati,Batha,Chad
ATW,Outagamie County,Wisconsin,United States
ATX,Atbasar,Akmola Region,Kazakhstan
ATY,Watertown,South Dakota,United States
ATZ,Assiut,New Valley Governorate,Egypt
AUA,Reina Beatrix,Aruba,Not found
AUB,Itauba,Not found,Not found
AUC,Arauca,Arauca Department,Colombia
AUD,Augustus Downs,Queensland,Australia
AUE,Abu Rudeis,South Sinai Governorate,Egypt
AUF,Auxerre Branches,Burgundy,France
AUG,Augusta,Maine,United States
AUH,Abu Dhabi Intl,Abu Dhabi Emirate,United Arab Emirates
AUI,Aua Island,Manus,Papua New Guinea
AUJ,Ambunti,East Sepik,Papua New Guinea
AUK,Alakanuk,Alaska,United States
AUL,Aur Island,Aur,Marshall Islands
AUM,Austin,Minnesota,United States
AUN,Auburn,Jalisco,Mexico
AUO,Auburn-Opelika,Alabama,United States
AUP,Agaun,Milne Bay,Papua New Guinea
AUQ,Atuona,French Polynesia,Not found
AUR,Aurillac,Auvergne,France
AUT,Atauro,Dili,Timor-Leste
AUU,Aurukun Mission,Queensland,Australia
AUV,Aumo,West New Britain,Papua New Guinea
AUW,Municipal,Wisconsin,United States
AUX,Araguaina,Tocatins,Brazil
AUY,Aneityum,Tafea,Vanuatu
AUZ,Municipal Airport,Illinois,United States
AVA,An Shun/Huang Guo Shu,Santa Fe Province,Argentina
